Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Humpy Island",2008,2.0,2L,20.34896758512545,28.66342872023809,24.625959230082543,24.64943733870058,2L
"Humpy Island",2010,2.0,2L,20.34896758512545,28.66342872023809,24.625959230082543,24.64943733870058,2L
"Humpy Island",2012,2.0,2L,20.34896758512545,28.66342872023809,24.625959230082543,24.64943733870058,2L
"Humpy Island",2014,2.0,2L,20.34896758512545,28.66342872023809,24.625959230082543,24.64943733870058,2L
"Humpy Island",2020,2.0,3L,19.88284870071685,29.28934679118774,24.44075601812021,24.668500854241337,3L
"Humpy Island",2021,2.0,2U,20.213766677867383,27.83259875672044,24.42608967356254,24.771373775388295,3L
"Barren Island",2006,2.0,2L,21.735085730286738,27.9983434811828,24.589501973245394,24.77245373917264,2L
"Barren Island",2008,2.0,2L,21.735085730286738,27.9983434811828,24.589501973245394,24.77245373917264,2L
"Barren Island",2010,2.0,2L,21.735085730286738,27.9983434811828,24.589501973245394,24.77245373917264,2L
"Barren Island",2012,2.0,2L,21.735085730286738,27.9983434811828,24.589501973245394,24.77245373917264,2L
"Barren Island",2014,2.0,2L,21.735085730286738,27.9983434811828,24.589501973245394,24.77245373917264,2L
"Barren Island",2020,2.0,3L,20.20545378584229,28.918504262452103,24.331590865924227,24.354035805704896,3L
"Barren Island",2021,2.0,2U,20.20545378584229,27.56370793010753,24.235955561336123,24.6700573253367,3L
"Snapper Island North",1997,2.0,2U,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,2U
"Snapper Island North",1998,2.0,3L,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,2U
"Snapper Island North",1999,2.0,2L,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,3L
"Snapper Island North",2000,2.0,1U,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,2L
"Snapper Island North",2002,2.0,1U,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,1U
"Snapper Island North",2004,2.0,2L,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,2L
"Snapper Island North",2006,2.0,2U,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,2U
"Snapper Island North",2007,2.0,2U,22.207499260752687,29.57685322580645,26.46759614137422,26.43764658154122,2U
"Snapper Island North",2008,2.0,2U,22.94559072580645,30.10184852150537,26.706374386426017,27.080966345206093,2U
"Snapper Island North",2010,2.0,3L,23.893599910394265,29.779811827956987,27.07645154312155,27.12810019937276,3L
"Snapper Island North",2017,2.0,3L,23.06965055555556,30.5182710125448,26.886534601371448,27.076947734841696,3L
"Snapper Island North",2019,2.0,2U,22.45521973566308,29.25793464781746,26.26044308600639,26.715338408378138,2U
"Snapper Island North",2020,2.0,2L,22.755020578703704,30.079897605363985,26.598686515164175,26.88158697319295,2U
"Snapper Island North",2021,2.0,2L,22.755020578703704,30.079897605363985,26.598686515164175,26.88158697319295,2L
"Chicken Reef",1997,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
"Chicken Reef",1998,2.0,2U,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
"Chicken Reef",1999,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2U
"Chicken Reef",2000,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
